Date,Mkt-RF,SMB,HML,RMW,CMA,RF,QMJ,BAB,UMD,TSMOM,Carry,ESG,E,S,G
7/31/1963,-0.39,-0.44,-0.89,0.68,-1.23,0.27,0.684436194,0.812285495,0.270104642,,,,,1.435945,2.210925
8/31/1963,5.07,-0.75,1.68,0.36,-0.34,0.25,-0.9914621,-1.215830219,1.591270043,,,,,1.6771375,-0.9818742
9/30/1963,-1.57,-0.55,0.08,-0.71,0.29,0.27,0.623597154,1.068651057,-1.057191038,,,,,0.3940575,-0.7984617
10/31/1963,2.53,-1.37,-0.14,2.8,-2.02,0.29,2.001581951,-1.875605282,2.801265101,,,,,0.314545,4.155985
11/30/1963,-0.85,-0.89,1.81,-0.51,2.31,0.27,-0.862888242,-0.519820304,-1.80706475,,,,,4.1817408,-0.8930108
12/31/1963,1.83,-2.07,-0.08,0.03,-0.04,0.29,0.317778449,0.012884493,1.796375251,,,,,-1.4273475,0.259355
1/31/1964,2.24,0.11,1.47,0.17,1.51,0.3,0.480655593,0.612817006,1.057534438,,,,,1.795315,1.936055
2/29/1964,1.54,0.3,2.74,-0.05,0.9,0.26,-0.439578296,-0.501539108,0.78377812,,,,,0.3525142,1.6516425
3/31/1964,1.41,1.36,3.36,-2.21,3.19,0.31,-1.460262414,-0.188250649,0.615571124,,,,,-5.48336,1.63855
4/30/1964,0.1,-1.59,-0.58,-1.27,-1.04,0.29,1.443069562,2.525903893,-0.247511016,,,,,-0.20354,1.6243092
5/31/1964,1.42,-0.64,1.82,-0.16,0.14,0.26,-0.011122548,0.520341133,2.640325735,,,,,0.025795,1.8755975
6/30/1964,1.27,0.31,0.63,-0.28,-0.15,0.3,-0.308866121,0.786500166,-0.053363788,,,,,0.666585,-0.473475
7/31/1964,1.74,0.47,0.75,0.04,1.94,0.3,0.687090372,2.16441241,-0.569683043,,,,,-2.5898158,-3.4214417
8/31/1964,-1.44,0.42,0.08,0.15,0.33,0.28,-0.061833952,0.937714229,-0.413261595,,,,,-2.1574008,-1.8918525
9/30/1964,2.69,-0.33,1.7,-0.54,0.61,0.28,-0.271663921,-1.839643727,-1.698243032,,,,,1.9781308,0.1958508
10/31/1964,0.59,0.91,1.17,-0.38,0.43,0.29,-0.537737379,0.616234382,-0.071099063,,,,,1.1154783,-0.9251767
11/30/1964,0,-0.15,-1.96,0.62,-0.26,0.29,0.57299278,1.992960292,0.899891846,,,,,-0.1754075,0.3663725
12/31/1964,0.03,-0.7,-2.48,1.04,-1.48,0.31,0.684925187,-0.033566176,-1.13155803,,,,,3.1954842,-2.4010892
1/31/1965,3.54,2.44,0.12,0.89,0.1,0.28,-0.741667561,0.062177324,-1.10859806,,,,,-6.0331233,0.5484592
2/28/1965,0.44,3.29,0.11,0.2,-0.65,0.3,-1.179361028,-0.087994261,0.374043184,,,,,0.5609042,2.022385
3/31/1965,-1.34,2.11,1.03,-0.36,0.72,0.36,-0.401137454,-0.465641207,0.515983755,,,,,-1.8400058,-0.4717533
4/30/1965,3.11,1.11,0.66,0.41,-2.27,0.31,-0.623770229,-0.443026601,2.45204961,,,,,-0.6022858,-2.34409
5/31/1965,-0.77,0.13,-1.61,-0.4,0.5,0.31,-0.033971725,-0.013062729,0.722704199,,,,,-0.3725425,1.1519067
6/30/1965,-5.51,-4.28,0.59,0.21,0.37,0.35,1.218535414,0.078725552,-3.208468524,,,,,-0.9891667,1.6623225
7/31/1965,1.43,1.07,2.14,-1.37,0.03,0.31,-0.695926425,-0.961776685,4.359438873,,,,,-0.50488,1.8721683
8/31/1965,2.73,2.71,-1.02,1.9,-0.74,0.33,-0.677235552,-1.943938315,3.085156969,,,,,-1.032905,-0.0206583
9/30/1965,2.86,0.62,-0.12,-0.89,0.8,0.31,-0.16017426,-1.258523424,3.079811746,,,,,3.8916275,1.6342275
10/31/1965,2.6,3.47,1.57,1.17,-0.65,0.31,0.052886373,-1.741227388,3.484736852,,,,,0.1672042,1.7715783
11/30/1965,-0.03,5.18,0.1,-1.01,-0.94,0.35,-1.176904648,-2.061842103,5.289880404,,,,,3.4521717,-2.1484008
12/31/1965,1.01,2.66,2.02,-1.14,-0.53,0.33,-1.135493496,-0.107659249,0.225431262,,,,,-0.2490033,-2.46652
1/31/1966,0.72,4.67,3.53,-2.82,-0.11,0.38,0.092631271,1.352845489,5.235090057,,,,,-1.8458008,2.08455
2/28/1966,-1.21,4.71,0.29,-0.17,-1.49,0.35,-1.805885604,-1.696873417,4.829644899,,,,,2.6826592,-1.1912808
3/31/1966,-2.51,0.32,-2,1.3,0.06,0.38,-0.24896425,0.371218868,1.969654522,,,,,-0.3123483,1.54839
4/30/1966,2.14,3.34,-0.47,0.39,-0.95,0.34,-0.616031245,-1.098118307,5.508723015,,,,,3.8593125,1.2424675
5/31/1966,-5.66,-5.1,-1.61,1.64,-1.52,0.41,2.799710849,0.014267766,-5.199039715,,,,,0.3107075,1.4649142
6/30/1966,-1.44,1.37,0.49,0.15,0.78,0.38,-1.191435329,-1.365848191,3.730340435,,,,,2.5283008,0.3717583
7/31/1966,-1.63,-0.48,0.99,-0.4,1.82,0.35,0.751371928,-0.016511378,-0.884185746,,,,,-1.9559567,3.4675383
8/31/1966,-7.91,-3.14,0.44,-0.12,0.79,0.41,1.704913517,-3.000515199,-2.100146249,,,,,1.2202683,-1.02039
9/30/1966,-1.06,-1.14,0.51,-1.79,2.33,0.4,0.511079644,1.2579034,-2.033694926,,,,,1.7439717,3.0237533
10/31/1966,3.86,-6.45,2.68,-3.48,4.24,0.45,-0.360149702,2.142210342,-5.926040761,,,,,-4.9580958,2.28333
11/30/1966,1.4,3.47,-4.77,4.15,-6.69,0.4,0.362078406,-5.292544312,7.078916621,,,,,0.23745,1.700765
12/31/1966,0.13,2.16,-1.32,0.64,-0.45,0.4,-1.27204971,-0.744980202,0.778523898,,,,,0.3168942,0.6448767
1/31/1967,8.15,9.07,2.25,0.93,-3.13,0.43,-3.385812743,1.399194477,-5.181970276,,,,,-3.4730717,-3.4835008
2/28/1967,0.78,3.05,-2.18,2.05,-0.96,0.36,-0.669415487,2.617220066,3.128436791,,,,,-0.3911783,-1.1137708
3/31/1967,3.99,1.73,0.54,0.98,-1.45,0.39,-0.6887627,0.806739781,1.108368638,,,,,-2.563065,-0.1701983
4/30/1967,3.89,0.42,-2.45,2.38,-3.64,0.32,2.730439596,1.706213989,0.834121613,,,,,-0.4272525,-1.8272925
5/31/1967,-4.33,2.19,1.18,-1.7,1.81,0.33,0.805264797,2.00809638,0.459358358,,,,,2.7966058,0.4211108
6/30/1967,2.41,6.41,0.85,-0.64,-2.41,0.27,-0.918980386,-1.634366316,5.756864138,,,,,-4.018475,-2.1082258
7/31/1967,4.58,3.52,2.72,0.52,2.7,0.31,0.366115833,4.559788926,-0.928367051,,,,,0.4563058,-1.223965
8/31/1967,-0.89,0.67,1.52,0.36,1.45,0.31,0.50234977,2.266102687,-0.927058536,,,,,3.2487058,-0.2707975
9/30/1967,3.11,2.42,-2.42,0.23,-0.95,0.32,1.346718742,2.129920878,2.466042281,,,,,4.4407275,0.1585592
10/31/1967,-3.09,0.47,-3.22,1.07,-2.62,0.39,1.052891025,-0.03654961,3.424917296,,,,,-2.44551,1.6442342
11/30/1967,0.37,-0.06,-1.69,1.35,-2.34,0.36,-0.083774009,-0.751137317,1.319293634,,,,,4.4685883,0.3575408
12/31/1967,3.05,5.78,-0.63,-0.82,0.13,0.33,-1.618151768,0.19629316,2.659358458,,,,,-1.2036817,-0.0151358
1/31/1968,-4.06,4.48,4.84,-4.59,6.46,0.4,-0.357892375,6.29245381,-4.82219405,,,,,-4.6756425,2.9684892
2/29/1968,-3.75,-2.92,1.33,-0.14,2.45,0.39,2.056341915,2.130761571,-2.974778653,,,,,-1.7747742,2.4469017
3/31/1968,0.2,-1.6,-0.59,1.06,-1.1,0.38,0.164935917,-1.584106957,2.739873698,,,,,-2.1467425,-0.327175
4/30/1968,9.05,6.18,-1.17,2.7,-3.65,0.43,-2.010790591,0.169513877,4.305188046,,,,,-0.9165458,-4.5152925
5/31/1968,2.28,7.1,0.66,0.31,-1.92,0.45,-0.388798486,1.813854879,2.804668324,,,,,-2.22079,-0.3500608
6/30/1968,0.69,-0.36,0.83,-1.31,2.76,0.43,-0.436122249,6.892706472,-1.88461984,,,,,-0.5054875,0.894595
7/31/1968,-2.72,-1.42,5.39,-3.14,3.64,0.48,1.280087424,2.474871913,-1.289090634,,,,,-0.2270192,4.4242992
8/31/1968,1.34,2.26,1,-0.7,0.45,0.42,-0.41196941,0.146199785,2.120735868,,,,,-2.5907342,-0.4437242
9/30/1968,4.03,2.84,0.3,-1.99,0.88,0.43,-3.188301546,0.71084155,-0.930289911,,,,,0.9227725,-1.3353158
10/31/1968,0.42,-0.38,2.86,-1.32,2.53,0.44,-0.009321472,3.220959274,-1.750919723,,,,,0.5184908,-1.289885
11/30/1968,5.43,2.41,-0.93,0.43,-2.26,0.42,-1.4073137,2.570838404,-0.095120131,,,,,2.7483658,-1.0371325
12/31/1968,-3.94,3.56,-0.01,-1.86,1.7,0.43,-0.281150694,1.045095688,0.343232651,,,,,-6.5429675,-0.297095
1/31/1969,-1.25,-0.45,1.68,-1.55,1.37,0.53,-0.567672355,0.687733671,0.115089063,,,,,-2.6801833,1.2026608
2/28/1969,-5.84,-4.17,0.9,2.07,0.78,0.46,4.177811511,-0.307086839,-2.426246874,,,,,1.6231033,3.904705
3/31/1969,2.64,-0.42,-0.52,-1.42,-0.46,0.46,0.165991991,-1.764079094,4.193007425,,,,,1.4477867,1.53245
4/30/1969,1.46,-0.83,-0.03,0.41,0.23,0.53,0.721215263,-0.483087514,1.310137004,,,,,0.9032567,0.0557325
5/31/1969,-0.1,-0.11,0.72,-0.95,1.25,0.48,1.3934805,1.763633554,2.304338132,,,,,-1.28305,1.0856433
6/30/1969,-7.18,-5.5,-1.09,4.32,-1.53,0.51,4.590544074,-1.309498026,-1.980825358,,,,,0.9481042,4.2673517
7/31/1969,-7,-3.39,1.18,1.45,1.93,0.53,2.704684062,-1.044826915,1.341411272,,,,,-3.3608525,2.7061867
8/31/1969,4.68,0.66,-3.77,1.17,-4.04,0.5,-0.143399456,-1.314438671,1.88940085,,,,,1.0485858,-4.1299908
9/30/1969,-2.98,1.24,-3.19,3.45,-0.77,0.62,3.833273292,0.1183187,2.220721032,,,,,-4.4072992,-2.066995
10/31/1969,5.06,3.91,-3.1,0.12,-2.14,0.6,-1.619666223,1.196407264,-2.801955235,,,,,-5.4294592,-5.4801033
11/30/1969,-3.79,-2.45,-1.21,1.45,0.28,0.52,2.82656469,-0.375037084,3.898126359,,,,,-2.4359617,0.0608217
12/31/1969,-2.63,-3.77,-2.84,2.54,-1.78,0.64,4.048694353,0.566342209,4.973826801,,,,,-1.1308975,0.7645092
1/31/1970,-8.1,3.13,3.12,-1.71,3.85,0.6,1.799384292,0.983384213,1.423797599,,,,,-3.95041,-0.0605992
2/28/1970,5.13,-2.74,3.93,-2.32,2.74,0.62,-2.488173634,2.61454647,-0.610495514,,,,,1.1184025,0.6857008
3/31/1970,-1.06,-2.4,3.99,-1.01,4.32,0.57,0.810725094,4.181468549,-1.133464337,,,,,-0.4305783,2.773025
4/30/1970,-11,-6.37,6.17,-0.69,6.26,0.5,3.903967943,1.389375509,0.838814819,,,,,-2.7228533,7.6606575
5/31/1970,-6.92,-4.45,3.32,-1.25,3.92,0.53,0.682012825,-4.987484127,-2.445220181,,,,,-3.3969067,6.2201692
6/30/1970,-5.79,-2.21,0.6,0.13,2.97,0.58,3.69835622,4.392072737,4.716464318,,,,,-6.2643267,1.9980017
7/31/1970,6.93,-0.62,0.91,-0.25,1.81,0.52,-0.19963674,3.396370649,-3.641855152,,,,,0.0225083,5.1255425
8/31/1970,4.49,1.53,1.27,0.56,-0.19,0.53,-2.0603997,-1.093807505,-7.208884663,,,,,7.4279133,-0.1866742
9/30/1970,4.18,8.5,-5.52,0.3,-5.84,0.54,-3.175566457,-5.481686171,-9.096156631,,,,,1.3045708,-7.4182767
10/31/1970,-2.28,-4.43,0.21,1.71,2.32,0.46,4.050491506,4.328413159,7.92935701,,,,,-4.7638517,1.1786717
11/30/1970,4.6,-3.86,1.7,1.56,1.48,0.46,0.940314752,4.368870263,2.512834317,,,,,-1.0371308,3.0922717
12/31/1970,5.72,2.93,0.99,0.24,0.29,0.42,-0.82188375,6.050445322,-2.521587108,,,,,3.5533533,-0.2341617
1/31/1971,4.84,7.54,1.48,-1.99,0.06,0.38,-4.367871321,-1.541169602,-4.633014228,,,,,1.3759292,-1.7544258
2/28/1971,1.41,2.04,-1.27,0.58,-0.69,0.33,1.374100935,-0.280592264,-0.330950771,,,,,-0.7251017,-1.3727475
3/31/1971,4.13,2.26,-4.03,1.83,-2.7,0.3,0.911206029,0.063456538,-1.12926362,,,,,-0.308895,-1.6295517
4/30/1971,3.15,-0.35,0.81,-1.46,0.89,0.28,-1.059683981,-0.267315611,2.9959405,,,,,-0.8746725,-2.1320767
5/31/1971,-3.98,-1.11,-1.41,1.39,0.24,0.29,1.669210717,-0.422710531,1.172692419,,,,,2.0499917,-1.9124467
6/30/1971,-0.1,-1.49,-1.94,1.55,-1.65,0.37,0.698813179,1.550253377,2.980142421,,,,,-1.686155,-2.4900225
7/31/1971,-4.5,-1.42,-0.01,0.57,1.49,0.4,2.633372797,1.522789084,-2.34229962,,,,,-2.67987,0.3767225
8/31/1971,3.79,-0.15,2.64,-0.45,2.63,0.47,-2.730416245,-0.036235606,3.744669272,,,,,0.94168,1.79859
9/30/1971,-0.85,0.28,-2.91,2.55,-1.59,0.37,2.260370334,0.08308738,2.090131282,,,,,-1.3482033,-1.3605208
10/31/1971,-4.42,-1.59,-0.48,1.58,-1.38,0.37,2.638661311,0.840297829,0.573296688,,,,,0.4015292,0.9740375
11/30/1971,-0.46,-2.87,-1.7,2.41,-0.33,0.37,1.78672522,-0.055389085,1.482282008,,,,,-2.6030525,1.633945
12/31/1971,8.71,3.25,-0.41,-0.39,-1.73,0.37,-1.422516689,2.983233299,-0.506703639,,,,,-2.5494983,-1.08096
1/31/1972,2.49,6.12,2.27,-1.68,0.52,0.29,-1.568134512,-4.231655934,-0.206161227,,,,,0.8688625,1.8677908
2/29/1972,2.87,0.89,-2.77,1.63,-0.53,0.25,1.121852058,-0.338027966,3.348472086,,,,,-3.3871108,-3.6036983
3/31/1972,0.63,-0.47,-1.63,1.61,-0.15,0.27,0.560682669,1.304495979,3.080828947,,,,,0.6282092,0.0897025
4/30/1972,0.29,0.2,0.1,-0.45,-1,0.29,-0.150431387,-0.298927001,2.7957134,,,,,-6.4743817,-2.1282858
5/31/1972,1.25,-3.12,-2.72,2.38,-1.92,0.3,3.498309346,1.021314945,3.085440922,,,,,-4.122755,-1.6822717
6/30/1972,-2.43,-0.47,-2.49,1.81,-0.34,0.29,2.876232573,0.064327083,1.852808312,,,,,-4.0826225,-1.5093917
7/31/1972,-0.8,-2.77,0.66,1.14,-0.65,0.31,2.259551074,1.447295771,2.987987758,,,,,1.237025,1.8770025
8/31/1972,3.26,-3.48,4.53,-1.95,2.88,0.29,-1.305238378,2.284684671,-5.391694572,,,,,3.5819208,3.8339625
9/30/1972,-1.14,-2.22,0.47,1.72,-1.97,0.34,1.62080085,0.29828122,1.59960351,,,,,0.1787167,-0.6865542
10/31/1972,0.52,-2.54,1.35,-0.15,-0.02,0.4,0.255953612,2.449237095,1.157782397,,,,,1.95778,-1.632295
11/30/1972,4.6,-0.63,4.83,-1.98,3.34,0.37,-2.420535709,3.04182566,-4.74254836,,,,,-1.2126917,0.5234683
12/31/1972,0.62,-1.9,-2.19,2.58,-2.15,0.37,3.062284856,1.543685885,5.352408896,,,,,1.1604292,0.245435
1/31/1973,-3.29,-2.82,2.68,0.38,0.9,0.44,2.911496736,-0.846153026,3.725896687,,,,,0.2989542,5.9101408
2/28/1973,-4.85,-3.9,1.6,-0.25,0.02,0.41,1.372466176,-0.023624678,0.769940394,,,,,-5.7721825,1.0898458
3/31/1973,-1.3,-2.33,2.62,-1.04,0.64,0.46,-0.434321943,-0.605457304,3.654600437,,,,,-2.1550717,0.8251742
4/30/1973,-5.68,-2.95,5.42,-1.65,2.73,0.52,1.120957889,1.285174283,6.386051204,,,,,1.7574933,5.0265033
5/31/1973,-2.94,-6.18,0.41,1.94,-1.51,0.51,2.065273232,0.709877651,5.376077864,,,,,-1.0572175,1.3510892
6/30/1973,-1.57,-2.51,1.19,-0.27,0.21,0.51,1.615021726,-0.785561027,4.446824122,,,,,0.4078567,1.5802017
7/31/1973,5.05,7.26,-5.26,-0.05,-3.27,0.64,-2.444661576,-3.944356064,-10.83491779,,,,,3.0866575,-10.4248583
8/31/1973,-3.82,-1.79,1.06,-1.28,1.29,0.7,-0.186971876,-0.267377214,3.217512689,,,,,-0.1253683,0.88828
9/30/1973,4.75,3.57,2.24,-2.3,1.75,0.68,-5.199871096,2.244693996,-5.22925841,,,,,7.51199,-6.82204
10/31/1973,-0.83,-0.3,1.6,-1.83,2.68,0.65,0.915596156,1.350751568,6.629771044,,,,,-1.6567908,6.7761183
11/30/1973,-12.75,-7.27,3.99,-2.58,1.69,0.56,2.025668766,-4.121837427,6.248145113,,,,,-0.1883017,7.9795
12/31/1973,0.61,-4.66,3.94,-2.69,2.41,0.64,-2.160797565,1.59660762,8.477286025,,,,,-0.0795892,0.92813
1/31/1974,-0.17,10.39,6,-3.18,4.48,0.63,-3.318770422,-2.047844192,-8.969105125,,,,,1.5082575,-3.5049958
2/28/1974,-0.47,0.12,2.5,-1.87,2.62,0.58,-2.08499896,2.372027716,0.911457082,,,,,1.8471225,-0.1010133
3/31/1974,-2.81,2.61,-0.12,2.79,0.45,0.56,3.143365691,0.630253339,-1.889989135,,,,,1.2962017,1.9210633
4/30/1974,-5.29,-0.69,0.87,2.88,2.08,0.75,3.254994394,-3.476740192,2.226237889,,,,,-2.5827158,-0.0812592
5/31/1974,-4.68,-3.08,-2.07,4.93,-0.4,0.75,4.473472744,-1.596128987,-1.527175961,,,,,-4.6187442,-2.7443758
6/30/1974,-2.83,0.02,0.79,0.62,2.9,0.6,1.700974045,-0.370936333,2.143425534,,,,,-3.5823642,3.4400208
7/31/1974,-8.05,1.92,5.17,-3.26,4.6,0.7,-1.500770318,-0.279798736,2.505554397,,,,,4.6586525,4.4366758
8/31/1974,-9.35,0.26,2.64,-0.28,2.6,0.6,0.154159226,-4.774567025,3.201601097,,,,,3.5309125,3.7059692
9/30/1974,-11.77,1.48,5.59,-4.43,5.92,0.81,-2.379067476,-1.094607954,4.647323517,,,,,7.80451,5.5358967
10/31/1974,16.1,-6.82,-9.88,-0.22,-2.87,0.51,1.513459056,4.575053003,-0.493287254,,,,,-4.2393625,-0.4173658
11/30/1974,-4.51,-1.48,-0.2,-3.35,2.94,0.54,-1.333282858,-1.465507346,2.882581705,,,,,-1.0569992,-0.77394
12/31/1974,-3.45,-4.35,0.11,-0.69,3.26,0.7,1.012945724,-2.667862935,2.891510507,,,,,-0.15498,5.1919842
1/31/1975,13.66,12.92,8.27,-0.76,-0.92,0.58,-5.767463579,4.835227597,-13.1372775,,,,,0.8983483,-7.3367842
2/28/1975,5.56,-0.65,-4.44,1.15,-2.12,0.43,2.751391675,-0.690963233,-1.003023775,,,,,-1.0548042,-1.2311808
3/31/1975,2.66,3.99,2.39,1.23,-1.31,0.41,0.013745709,-4.062471769,-2.266038747,,,,,-6.073635,-5.8186692
4/30/1975,4.23,-0.72,-1.13,1.42,-1.35,0.44,2.90346352,1.148083941,1.753119562,,,,,0.5324242,-2.2426258
5/31/1975,5.19,2.89,-4.1,-0.99,-0.61,0.44,-1.709081223,1.392871778,-0.423454502,,,,,3.83952,-1.2160617
6/30/1975,4.83,1.42,1.4,-2.66,1.1,0.41,-3.6739298,2.946217545,-0.526756249,,,,,3.1877725,0.8021842
7/31/1975,-6.59,3.44,1.69,0.46,1.23,0.48,-0.647874916,4.014920658,0.127656809,,,,,1.29539,3.1647317
8/31/1975,-2.85,-2.84,-0.94,1.12,-0.93,0.48,2.004935444,-0.291825702,0.110671707,,,,,3.0661933,2.1391308
9/30/1975,-4.26,0.05,0.43,0.53,0.55,0.53,1.498458417,2.559949818,0.708121041,,,,,-0.5063358,2.7549458
10/31/1975,5.31,-4.22,0.27,-0.48,2.2,0.56,0.019466607,1.940718323,0.814705204,,,,,-2.5842983,-2.8344575
11/30/1975,2.64,-1.1,2.05,-0.68,1.78,0.41,-0.173347968,1.473505843,-0.460544959,,,,,-2.8197783,-1.4701233
12/31/1975,-1.6,-0.05,1.69,-0.09,0.58,0.48,-1.431763794,-1.80060982,-0.48791288,,,,,0.5951,2.5251142
1/31/1976,12.16,6.32,8.57,-1.79,2.27,0.47,-2.836332941,2.537268037,3.69333732,,,,,2.082215,0.0697525
2/29/1976,0.32,7.98,5.82,-2.6,3.83,0.34,-2.467594303,0.663634131,-0.272277577,,,,,4.4009117,3.3443967
3/31/1976,2.32,-1.39,-0.11,-0.33,0.94,0.4,0.140152521,-0.451334085,0.266632993,,,,,1.9171892,-2.091105
4/30/1976,-1.49,0.08,-0.14,0.4,-1.08,0.42,-0.862174025,2.501400777,0.373781714,,,,,-0.396195,2.0339925
5/31/1976,-1.34,-1.1,-1.35,2.45,-1.4,0.37,1.279795133,0.210762855,-1.036127617,,,,,2.1606383,3.3279008
6/30/1976,4.05,-1.07,0.69,-0.67,1.01,0.43,-1.373900221,-1.335561066,-0.199709666,,,,,4.8817333,1.2783675
7/31/1976,-1.07,0.63,1.73,-1.05,0.28,0.47,-0.196914613,1.865967028,0.118047844,,,,,-3.0987417,1.2797667
8/31/1976,-0.56,-1.98,0.81,-0.41,-0.55,0.42,-0.149046987,1.383446979,-0.475230063,,,,,-2.1588342,-1.2550383
9/30/1976,2.07,0.1,-0.29,0.98,-1.15,0.44,0.819404069,1.724659234,0.424783567,,,,,0.1446758,1.4611717
