,mean
10104.0,0.020955770088751352
10107.0,0.018042222819002886
10138.0,0.016959324385854246
10145.0,0.012696764080237602
10516.0,0.007059315746245171
10696.0,0.015332998857952876
10909.0,0.0230696936501211
11308.0,0.0077276233231422355
11403.0,0.014933886764573131
11404.0,0.006669401875909393
11600.0,0.01264779273370373
11618.0,0.017973694280418267
11674.0,0.007268961987917507
11762.0,0.011680175485411374
11786.0,0.019126940230429545
11850.0,0.005323109806187765
11891.0,0.017107825476296485
11955.0,0.011751338575286983
12052.0,0.014515496341263113
12060.0,0.005908050940325088
12062.0,0.00839047128669001
12073.0,0.014915366486514807
12084.0,0.028354695919252212
12308.0,0.02607982360602667
12345.0,0.018874373525422324
12369.0,0.007300645451517853
12448.0,0.016014586454128923
12449.0,0.021479724598192466
12490.0,0.006862455687092973
12542.0,0.002734523377859454
12558.0,-0.0006946547431082007
12622.0,0.019632375177499165
12623.0,0.015582808944328229
12650.0,0.022862253403493772
12872.0,0.015399922019450936
12981.0,0.02000450248296033
13035.0,0.016177225360035286
13103.0,0.024255101716016
13323.0,0.061256721776172196
13356.0,0.014644057277573766
13407.0,0.026342292067167147
13447.0,0.03490289667629656
13586.0,0.010100466219997228
13641.0,0.02124273815970508
13721.0,0.017012282079097465
13760.0,0.010603255600753782
13788.0,0.018697931993383154
13856.0,0.008310900748299864
13901.0,0.01152721362959132
13911.0,0.01760191356324396
13928.0,0.007465458080567697
13936.0,0.012274201518166642
13949.0,0.02427342146778581
13963.0,0.005824304474765706
13964.0,0.00553802227958451
14008.0,0.015346864662309997
14277.0,0.005714452520529587
14295.0,0.013280617858515507
14297.0,0.013796903382046588
14338.0,0.01315705406363413
14541.0,0.007209251000930111
14542.0,0.01631183110644575
14579.0,0.05129958750535969
14593.0,0.02333200291999443
14702.0,0.021924006623948163
14704.0,0.016902646635530077
14714.0,0.02618535390805739
14763.0,0.026150853419086177
14776.0,0.011646880823286715
14882.0,0.05779226083527262
14889.0,0.012543169026277962
14939.0,0.020613253566974844
15069.0,0.006494121029540388
15202.0,0.00982285895972355
15291.0,0.04537450663964469
15408.0,-0.006091581146134996
15488.0,0.03012224195347668
15579.0,0.016949473247367088
15707.0,0.010554921932414663
15720.0,0.006980360741731371
15850.0,0.04567862224278389
16600.0,0.009480931454289855
16678.0,0.00970077636629391
17005.0,0.00787853229735084
17144.0,0.0067002467238667955
17478.0,0.013257802064543571
17743.0,0.011386442899020114
17750.0,0.007443629324008704
17830.0,0.010993587778652662
18163.0,0.008721744762378324
18411.0,0.008893150025824973
18542.0,0.013697972976878775
18729.0,0.009744228933744789
19166.0,0.01141727452947795
19350.0,0.013146096193069867
19393.0,0.0071403719503633735
19502.0,0.00897009571244077
19561.0,0.009770392779516888
19583.0,0.00396650875078228
20482.0,0.01006607937086334
21020.0,0.0036290072286959546
21178.0,0.012733810264498966
21186.0,0.006723177322705852
21207.0,0.007016096722033875
21371.0,0.009328643690711621
21573.0,0.006582468677739875
21776.0,0.00783576348622294
21792.0,0.006801926868159701
21936.0,0.009285246121397984
22103.0,0.008577536316538008
22111.0,0.009410650762283791
22293.0,0.012873847317736886
22509.0,0.009710408706027865
22517.0,0.006758950782050519
22592.0,0.007892131170561315
22752.0,0.00797003178961376
22779.0,0.010191683590433558
23026.0,0.005610860690891289
23229.0,0.006214039640374198
23393.0,0.012427718974071326
23473.0,0.009549281632390456
23536.0,0.008235284107128201
23579.0,0.010801670570687032
23660.0,0.013959705812234928
23712.0,0.008019012297814652
23819.0,0.008220805742378616
23931.0,0.008009812486282651
24010.0,0.007555337504680899
24053.0,0.006730988515402421
24109.0,0.006680170192887072
24205.0,0.011181527408677177
24643.0,0.007043280527446618
24766.0,0.0132263131812274
24985.0,0.006368701812754894
25081.0,0.009460862561173978
25232.0,0.013076075664433891
25320.0,0.005567105353994473
25419.0,0.011012466167856423
25582.0,0.01352956215152464
25785.0,0.009232486784212552
25953.0,0.010793090255497078
26403.0,0.01011344422056214
26710.0,0.005773033867481183
26825.0,0.005370171601569776
27828.0,0.012095121459220974
27887.0,0.009050290360062704
27959.0,0.0068029961960782035
27991.0,0.008330530193854711
28222.0,0.010830637884830109
28388.0,0.010611746989337095
28484.0,0.006913242305620701
28804.0,0.011055863998943307
29946.0,0.0113728587890659
30681.0,0.011409320373331377
32870.0,0.009800395055639954
32986.0,0.008990722565211086
34032.0,0.010261406087447623
34746.0,0.011526512937620408
34817.0,0.011284328291335289
34833.0,0.007495012771562789
35044.0,0.0076799374693996905
35554.0,0.010949496416144896
36003.0,0.012412460908674377
36468.0,0.013899243630189687
37584.0,0.011526955104659179
38093.0,0.011408721313145713
38156.0,0.012597346343682354
38703.0,0.010706087947581357
38762.0,0.008589912778929572
39490.0,0.01213542546541571
39642.0,0.010577966702999552
39917.0,0.008469003349198709
40125.0,0.010726208724042294
40272.0,0.006278515595570076
40539.0,0.017257737319211684
41080.0,0.016035671599226208
41355.0,0.013649028054627619
42200.0,0.01180857541045661
42585.0,0.007325050037618467
42877.0,0.013968548858505486
42906.0,0.009209155532887418
43350.0,0.010332827462612347
43449.0,0.010830588347419972
43553.0,0.013468372361846684
44206.0,0.006859471860248983
44329.0,0.012490633635315516
44601.0,0.010526234861553086
44644.0,0.01087789160243913
45356.0,0.010151776137056302
45751.0,0.008621919624141258
45911.0,0.028363307120118055
46578.0,0.01065129964689282
46674.0,0.0072951736758922895
46703.0,0.01178468349387743
46886.0,0.022419502333394948
47896.0,0.014353271407491338
48486.0,0.026498527447428123
48506.0,0.013747873700444559
48653.0,0.014840032511539841
48725.0,0.011926794858457622
49015.0,0.011024922677270095
49154.0,0.012697344053248478
49656.0,0.011339848481487058
49680.0,0.016088633389992706
50876.0,0.00913922913910523
51369.0,0.020909052633171984
52038.0,0.009912749849203897
52090.0,0.011099674352560271
52230.0,0.015608608783260928
52329.0,0.011816165821737185
52476.0,0.012767966130775308
52695.0,0.011012728133772354
52708.0,0.017484392537173783
52978.0,0.011385513821672985
53065.0,0.008142296296209769
53613.0,0.022920301405549938
54148.0,0.016222923409678246
55976.0,0.009303339792496314
56274.0,0.006844451116313453
56573.0,0.011582029736329413
57568.0,0.01284508125117986
57665.0,0.016166267388366233
57904.0,0.0133095118583067
58246.0,0.01041427772862888
58413.0,0.009085549375021144
58683.0,0.013066612449396713
58819.0,0.007891468271571323
59010.0,0.012288718737678733
59176.0,0.011722430562858908
59248.0,0.007832760257362768
59300.0,0.009403715427194313
59328.0,0.014991263923901606
59408.0,0.010522211731844401
59459.0,0.008682583192885436
60097.0,0.01179861900223098
60206.0,0.009207735880009223
60442.0,0.010792845984528678
60506.0,0.014316430557505772
60599.0,0.004782399059243107
60628.0,0.011772525036408537
60871.0,0.01980250207412651
60943.0,0.011393434718678635
60986.0,0.006111855282418037
61241.0,0.025506981154735573
61399.0,0.018409048515665574
61516.0,0.015227874454382504
61621.0,0.01637894720363721
62092.0,0.01278585770405348
62148.0,0.012602924771033665
62308.0,0.009491088384806385
62498.0,0.014610127697285782
63467.0,0.01545721794092212
64186.0,0.014274195774941219
64282.0,0.012248947145913427
64311.0,0.010952792907590544
64390.0,0.01478356742088896
64653.0,0.013251120362886908
64936.0,0.007466475851314107
64995.0,0.007203789439272402
65402.0,0.015606537925116347
65541.0,0.017579609302718218
65875.0,0.005994198875226486
65947.0,0.010915408560527088
66093.0,0.005756055338932015
66157.0,0.010868835881096498
66181.0,0.014701718497012116
66384.0,0.021003508047984506
66800.0,0.008758730758729167
67598.0,0.00963548160546472
69032.0,0.013275985534210786
69649.0,0.016288402895280586
69796.0,0.01897198679247739
70519.0,0.009781163186226174
70578.0,0.013168588314375224
71563.0,0.010365031749119853
72726.0,0.011167605377412631
73139.0,0.015626088446061278
75034.0,0.005419920217593581
75107.0,0.02468167426584399
75154.0,0.010183406361472365
75186.0,0.01981572989740688
75241.0,0.013479027420603038
75341.0,0.011594632886642446
75510.0,0.022095978923007308
75591.0,0.014412543468687594
75607.0,0.016826657650048846
75694.0,0.01998284098604313
75819.0,0.01535077354593998
75825.0,0.012255941404892147
75828.0,0.020614484404490565
75912.0,0.01874505034791012
76076.0,0.020509547085824534
76082.0,0.011140198599452459
76095.0,0.01966054900866623
76185.0,0.018588735168577362
76201.0,0.020126132118288467
76226.0,0.00893498202443646
76230.0,0.01701875240609342
76605.0,0.015447050436146371
76614.0,0.030315488472197956
76709.0,0.022250020870187025
76712.0,0.014227400568622227
76744.0,0.021456981176800158
76795.0,0.016573590296864844
76841.0,0.02215719017113901
77037.0,0.017041767612683445
77129.0,0.009824909101912794
77178.0,0.024099479580500675
77274.0,0.01849391557144953
77338.0,0.017488884900854713
77357.0,0.013380444934014277
77496.0,0.013817787263099478
77605.0,0.009614168151343132
77649.0,0.01677091407606571
77661.0,0.016716733978046586
77702.0,0.020464121523853514
77730.0,0.008089889976455232
78975.0,0.020747958217928478
78987.0,0.022820505844018953
79057.0,0.010597484839487071
79103.0,0.01773508457961107
79145.0,0.016146888044812277
79323.0,0.009133294684635963
79545.0,0.011366979143175197
79547.0,0.00904733183567479
79637.0,0.016608196294281015
79678.0,0.021151477402190127
79698.0,0.01616236875527451
79782.0,0.007965173913094214
79785.0,0.021812780685631392
79906.0,0.028503063853152148
80080.0,0.009683546371524713
80100.0,0.01006872065013509
80183.0,0.010266027432626628
80191.0,0.013428049399460141
80204.0,0.010307235568968622
80286.0,0.01878971116294268
80320.0,0.020696502475527238
80381.0,0.010337411702817037
80563.0,0.02851979823971496
80681.0,0.011921761267614656
81045.0,0.011582680671515529
81055.0,0.015292900693815809
81061.0,0.010487014518727725
81285.0,0.015271800053208691
81481.0,0.018179726743121988
81540.0,0.014480908262868715
81655.0,0.013975218003749052
81677.0,0.01144781156652073
81696.0,0.01857215895650918
81736.0,0.022908523008670207
81774.0,0.01313208015607669
82303.0,0.009851719876325691
82307.0,0.01658417091928421
82515.0,0.023315372454259756
82581.0,0.011126402624089027
82598.0,0.024302990962612892
82642.0,0.013480621393125166
82651.0,0.017304081003446662
82686.0,0.02735867959407068
82775.0,0.010945058383451379
83143.0,0.011688824477775434
83443.0,0.00804900031621205
83621.0,0.019066304324726318
84129.0,0.01136477962039149
84373.0,0.014775800444878612
84381.0,0.014260934397342245
84761.0,0.022234284276297374
84767.0,0.01182684617157524
84769.0,0.01928291189235174
84788.0,0.03872836247290729
85035.0,0.028343667865626167
85058.0,0.009167272163798743
85072.0,0.008570605215464775
85257.0,0.014785484402087988
85269.0,0.014568709449093008
85348.0,0.013434963347770678
85459.0,0.013131235408488796
85592.0,0.010466375823929189
85621.0,0.016926340604778066
85631.0,0.016997602487632532
85663.0,0.019779078031310036
85753.0,0.025088240914493156
85792.0,0.018205368818264497
85913.0,0.01081268060676184
85914.0,0.02831394212587574
85926.0,0.008397779975997909
86111.0,0.016615984530141903
86136.0,0.008649570550214569
86158.0,0.029514042431239788
86228.0,0.009967921365039389
86339.0,0.01949034720906263
86356.0,0.024211246964163154
86580.0,0.03648444659921235
86783.0,0.023779970006240436
86868.0,0.009191861289156725
86964.0,0.02420090471419611
86979.0,0.014503282087520034
86996.0,0.030175171300805693
87055.0,0.012482292889998995
87137.0,0.007102063671549334
87267.0,0.019280993480583455
87299.0,0.01645138860337359
87432.0,0.012287549365755802
87445.0,0.01937138026752272
87447.0,0.006348823350871153
87541.0,0.014011154222453243
87657.0,0.019929687547813817
87717.0,0.01668973635405947
87842.0,0.009094443321070775
88031.0,0.029321337760105724
88281.0,0.013106719253454123
88352.0,0.03071293907516782
88446.0,0.024612769104079227
88661.0,0.016205789245424523
88664.0,0.02384697209339968
88837.0,0.01674794277142217
88860.0,0.03125176632522835
88873.0,0.018422660788351256
89003.0,0.011515706530049078
89006.0,0.007068738871949933
89017.0,0.009174595267717273
89070.0,0.009499726442339158
89071.0,0.015008043155096497
89179.0,0.014629710863652105
89195.0,0.011931234926419615
89217.0,0.013394575670315963
89258.0,0.01057492258391882
89269.0,0.02022337226764005
89393.0,0.04038278821153491
89508.0,0.016671483657556288
89525.0,0.011185045817890309
89533.0,0.02260121578792356
89617.0,0.03248979985012926
89626.0,0.019265579541751014
89866.0,0.01648372236190733
90038.0,0.012114721225271933
90071.0,0.01027671186895949
90199.0,0.018291900266556884
90215.0,0.025564600441277927
90248.0,0.02513344164185939
90305.0,0.016315713384680026
90319.0,0.020921695550133425
90373.0,0.017562397051535665
90386.0,0.010510960001038553
90454.0,0.022148241977227638
90455.0,0.025367343036482998
90505.0,0.017656769130794153
90520.0,0.017353353553346766
90601.0,0.017121184242050596
90664.0,0.03130766839472468
90805.0,0.01135065537196559
90808.0,0.01701881319478473
90829.0,0.021284362806755597
90880.0,0.01489582900781246
90979.0,0.01764910436507252
90993.0,0.019825484569768608
91041.0,0.017769540137929273
91068.0,0.0238981349370791
91103.0,0.014890675358151433
91152.0,0.025516603018094573
91233.0,0.028487411000601925
91416.0,0.013045105955985025
91461.0,0.0046497698674898835
91547.0,0.00905304859833414
91556.0,0.022327575587669925
91668.0,0.021425822901531045
91849.0,0.016185436240838277
91926.0,0.013381070398203352
91937.0,0.013374146444093795
92121.0,0.014563221106147224
92157.0,0.013201565045600768
92322.0,0.020989906916318198
92402.0,0.021571132524345966
92602.0,0.008829629162948783
92611.0,0.019655562835269508
92614.0,0.016059190711031797
92655.0,0.019922123005635107
92778.0,0.01290528139151874
93002.0,0.028226308892949425
93089.0,0.01606590107737192
93096.0,0.018901479755904997
93132.0,0.02683954741794099
93246.0,0.029718519223590326
93429.0,0.01224814363602135
93436.0,0.054498748884350086
